index,actual_label,predicted_label
0.0,rec.autos,sci.electronics
1.0,comp.windows.x,rec.sport.hockey
2.0,alt.atheism,alt.atheism
3.0,talk.politics.mideast,alt.atheism
4.0,talk.religion.misc,alt.atheism
5.0,sci.med,sci.med
6.0,soc.religion.christian,soc.religion.christian
7.0,soc.religion.christian,sci.crypt
8.0,comp.windows.x,comp.windows.x
9.0,comp.graphics,comp.graphics
10.0,comp.os.ms-windows.misc,misc.forsale
11.0,comp.windows.x,comp.os.ms-windows.misc
12.0,talk.politics.mideast,talk.politics.mideast
13.0,rec.motorcycles,rec.motorcycles
14.0,alt.atheism,talk.religion.misc
15.0,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
16.0,comp.sys.mac.hardware,comp.os.ms-windows.misc
17.0,comp.graphics,comp.graphics
18.0,misc.forsale,sci.electronics
19.0,talk.politics.guns,talk.politics.guns
20.0,comp.graphics,comp.os.ms-windows.misc
21.0,misc.forsale,misc.forsale
22.0,talk.politics.mideast,talk.religion.misc
23.0,sci.space,sci.space
24.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
25.0,sci.med,misc.forsale
26.0,sci.crypt,sci.crypt
27.0,rec.autos,rec.autos
28.0,rec.autos,rec.autos
29.0,comp.sys.ibm.pc.hardware,sci.space
30.0,comp.windows.x,comp.graphics
31.0,comp.windows.x,comp.os.ms-windows.misc
32.0,comp.sys.mac.hardware,comp.sys.mac.hardware
33.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
34.0,sci.space,sci.space
35.0,comp.graphics,alt.atheism
36.0,rec.sport.baseball,rec.sport.baseball
37.0,comp.sys.mac.hardware,rec.autos
38.0,misc.forsale,soc.religion.christian
39.0,comp.graphics,comp.graphics
40.0,talk.politics.mideast,talk.politics.mideast
41.0,comp.os.ms-windows.misc,sci.crypt
42.0,rec.motorcycles,rec.motorcycles
43.0,comp.graphics,comp.graphics
44.0,sci.crypt,sci.crypt
45.0,comp.graphics,rec.autos
46.0,sci.space,sci.space
47.0,comp.sys.ibm.pc.hardware,sci.electronics
48.0,sci.crypt,sci.crypt
49.0,alt.atheism,sci.crypt
50.0,rec.motorcycles,rec.motorcycles
51.0,rec.motorcycles,rec.motorcycles
52.0,sci.med,sci.med
53.0,rec.sport.baseball,rec.sport.baseball
54.0,comp.graphics,sci.electronics
55.0,comp.os.ms-windows.misc,comp.graphics
56.0,rec.sport.hockey,comp.sys.ibm.pc.hardware
57.0,talk.politics.mideast,talk.politics.mideast
58.0,talk.politics.guns,talk.religion.misc
59.0,sci.space,sci.space
60.0,rec.motorcycles,rec.motorcycles
61.0,rec.sport.hockey,talk.religion.misc
62.0,talk.politics.mideast,talk.politics.mideast
63.0,talk.religion.misc,talk.politics.misc
64.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
65.0,talk.politics.misc,talk.politics.misc
66.0,talk.politics.misc,talk.politics.misc
67.0,sci.med,rec.autos
68.0,alt.atheism,alt.atheism
69.0,rec.sport.baseball,comp.sys.mac.hardware
70.0,rec.motorcycles,rec.motorcycles
71.0,talk.politics.misc,talk.politics.mideast
72.0,rec.sport.hockey,rec.sport.hockey
73.0,talk.religion.misc,talk.religion.misc
74.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
75.0,rec.autos,rec.autos
76.0,talk.politics.misc,talk.politics.guns
77.0,rec.autos,rec.autos
78.0,talk.politics.misc,talk.politics.misc
79.0,rec.sport.baseball,rec.sport.baseball
80.0,misc.forsale,misc.forsale
81.0,talk.politics.misc,talk.politics.misc
82.0,talk.politics.mideast,rec.sport.baseball
83.0,comp.sys.mac.hardware,misc.forsale
84.0,sci.electronics,comp.windows.x
85.0,rec.sport.hockey,rec.sport.hockey
86.0,talk.politics.guns,talk.politics.guns
87.0,soc.religion.christian,soc.religion.christian
88.0,rec.motorcycles,rec.motorcycles
89.0,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware
90.0,sci.space,comp.graphics
91.0,rec.sport.baseball,comp.sys.ibm.pc.hardware
92.0,talk.politics.guns,talk.politics.guns
93.0,soc.religion.christian,sci.space
94.0,talk.politics.guns,talk.politics.guns
95.0,alt.atheism,talk.politics.mideast
96.0,rec.sport.baseball,rec.sport.baseball
97.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
98.0,comp.sys.ibm.pc.hardware,comp.windows.x
99.0,talk.politics.guns,talk.politics.guns
100.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
101.0,rec.sport.hockey,rec.sport.hockey
102.0,sci.space,rec.motorcycles
103.0,soc.religion.christian,soc.religion.christian
104.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
105.0,talk.politics.guns,talk.politics.guns
106.0,rec.sport.hockey,rec.sport.hockey
107.0,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware
108.0,sci.space,sci.space
109.0,sci.electronics,sci.electronics
110.0,rec.motorcycles,rec.sport.baseball
111.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
112.0,talk.politics.mideast,talk.politics.mideast
113.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
114.0,rec.motorcycles,rec.motorcycles
115.0,sci.space,sci.space
116.0,rec.sport.baseball,sci.electronics
117.0,comp.windows.x,comp.windows.x
118.0,rec.sport.baseball,rec.sport.baseball
119.0,talk.politics.mideast,talk.politics.mideast
120.0,sci.electronics,sci.electronics
121.0,comp.sys.mac.hardware,comp.sys.mac.hardware
122.0,comp.sys.mac.hardware,sci.med
123.0,comp.windows.x,comp.windows.x
124.0,rec.sport.baseball,misc.forsale
125.0,sci.med,sci.med
126.0,talk.politics.misc,misc.forsale
127.0,rec.motorcycles,rec.motorcycles
128.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
129.0,comp.graphics,comp.sys.mac.hardware
130.0,talk.politics.guns,talk.politics.guns
131.0,sci.crypt,sci.crypt
132.0,misc.forsale,misc.forsale
133.0,sci.med,rec.sport.hockey
134.0,rec.sport.hockey,rec.sport.hockey
135.0,comp.windows.x,comp.windows.x
136.0,comp.windows.x,misc.forsale
137.0,comp.graphics,comp.graphics
138.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
139.0,sci.electronics,sci.electronics
140.0,rec.sport.hockey,rec.sport.hockey
141.0,sci.space,sci.space
142.0,rec.autos,rec.autos
143.0,rec.autos,rec.autos
144.0,rec.sport.hockey,comp.sys.mac.hardware
145.0,comp.windows.x,comp.graphics
146.0,rec.sport.hockey,rec.sport.hockey
147.0,sci.electronics,sci.electronics
148.0,alt.atheism,sci.space
149.0,sci.med,sci.med
150.0,sci.space,sci.med
151.0,comp.sys.mac.hardware,rec.sport.hockey
152.0,soc.religion.christian,soc.religion.christian
153.0,comp.sys.mac.hardware,sci.crypt
154.0,misc.forsale,misc.forsale
155.0,sci.space,sci.space
156.0,talk.politics.misc,talk.politics.misc
157.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
158.0,rec.sport.hockey,rec.sport.hockey
159.0,comp.sys.mac.hardware,comp.sys.mac.hardware
160.0,sci.crypt,sci.crypt
161.0,talk.politics.mideast,alt.atheism
162.0,rec.sport.baseball,rec.sport.baseball
163.0,comp.windows.x,comp.os.ms-windows.misc
164.0,comp.sys.ibm.pc.hardware,sci.electronics
165.0,rec.motorcycles,comp.sys.mac.hardware
166.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
167.0,talk.politics.guns,talk.politics.guns
168.0,misc.forsale,comp.sys.mac.hardware
169.0,rec.autos,rec.autos
170.0,comp.graphics,comp.graphics
171.0,rec.autos,comp.sys.ibm.pc.hardware
172.0,rec.autos,sci.electronics
173.0,rec.motorcycles,comp.windows.x
174.0,comp.sys.mac.hardware,rec.sport.hockey
175.0,sci.electronics,alt.atheism
176.0,rec.sport.hockey,rec.sport.hockey
177.0,alt.atheism,alt.atheism
178.0,rec.sport.hockey,rec.sport.hockey
179.0,talk.politics.misc,comp.graphics
